# Revenue-mix extraction TODO — auto-generated
# Generated:        2026-06-19T06:50:25.330Z
# Stale threshold:  365 days
# Universe total:   503
# Skipped (fresh):  27
# Skipped (no BSE): 3
# Priority breakdown:
#   1 — SPIP STRONG BUY (NEW): 34
#   2 — SPIP BUY (NEW):        110
#   3 — Other NEW:             329
#   4 — STALE (>365d):           0
# Routine processes TOP 10 rows per daily run.
#
# Format: Company Name, BSECode
Bharat Electron, 500049
Siemens, 500550
Lupin, 500257
A B B, 500002
Sun Pharma.Inds., 524715
Divi's Lab., 532488
Eicher Motors, 505200
Radico Khaitan, 532497
Gabriel India, 505714
KSB, 500249
Bosch, 500530
Navin Fluo.Intl., 532504
Nippon Life Ind., 540767
Garware Hi Tech, 500655
Aditya AMC, 543374
Schaeffler India, 505790
Pidilite Inds., 500331
Avenue Super., 540376
Berger Paints, 509480
Indian Hotels Co, 500850
Dr Lal Pathlabs, 539524
FSN E-Commerce, 543384
Titan Company, 500114
Finolex Cables, 500144
Sona BLW Precis., 543300
Ajanta Pharma, 532331
Kirl. Brothers, 500241
Suzlon Energy, 532667
Engineers India, 532178
Hitachi Energy, 543187
Triveni Turbine, 533655
CCL Products, 519600
Sai Life, 544306
Caplin Point Lab, 524742
Cams Services, 543232
Craftsman Auto, 543276
Alivus Life, 543322
Allied Blenders, 544203
Bharat Forge, 500493
Varun Beverages, 540180
Happy Forgings, 544057
ZF Commercial, 533023
Tube Investments, 540762
Honeywell Auto, 517174
S C I, 523598
Leela Palaces Hotels, 544408
Kirloskar Oil, 533293
Zen Technologies, 533339
Shyam Metalics, 543299
TD Power Systems, 533553
Gland Pharma, 543245
Aegis Logistics, 500003
Minda Corp, 538962
Schneider Elect., 534139
Larsen & Toubro, 500510
Astral, 532830
Page Industries, 532827
NBCC, 534309
Fine Organic, 541557
Nestle India, 500790
Torrent Pharma., 500420
Honasa Consumer, 544014
J B Chemicals &, 506943
Global Health, 543654
Inventurus Knowl, 513693
Petronet LNG, 532522
Sansera Enginee., 543358
Phoenix Mills, 503100
Rubicon Research, 544578
K P R Mill Ltd, 532889
Grindwell Norton, 506076
Granules India, 532482
Max Healthcare, 543220
Oracle Fin.Serv., 532466
Hind.Aeronautics, 541154
Rainbow Child., 532441
HDFC AMC, 541729
Glenmark Pharma., 532296
Kajaria Ceramics, 500233
Mankind Pharma, 543904
CIE Automotive, 532756
AIA Engineering, 532683
Asian Paints, 500820
Timken India, 522113
Thermax, 500411
Usha Martin, 517146
Redington, 532805
Oberoi Realty, 533273
B H E L, 500103
JSW Cement, 544480
Jindal Saw, 500378
JSW Steel, 500228
Gujarat Fluoroch, 542812
Tata Technolog., 544028
Arvind Ltd, 500101
Narayana Hrudaya, 539551
LG Electronics, 544576
Natl. Aluminium, 532234
Fortis Health., 532843
Gallantt Ispat L, 532726
Delhivery, 543529
Adani Total Gas, 542066
Lloyds Metals, 512455
Black Box, 500463
Linde India, 523457
Ratnamani Metals, 520111
Nava, 513023
Deepak Nitrite, 506401
Amber Enterp., 540902
IRB Infra.Devl., 532947
NLC India, 513683
Niva Bupa Health, 544286
BSE, 201890
Godawari Power, 532734
Zydus Wellness, 531335
C P C L, 500110
Coal India, 533278
Star Health Insu, 543412
NTPC, 532555
3M India, 523395
Multi Comm. Exc., 534091
GE Shipping Co, 500620
GAIL (India), 532155
ICICI Bank, 532174
Hindustan Copper, 513599
Biocon, 532523
Deepak Fertilis., 500645
Hindalco Inds., 500440
Torrent Power, 532779
Adani Energy Sol, 539254
Exide Inds., 500086
Indus Towers, 534816
Atul, 500027
PG Electroplast, 533581
Power Grid Corpn, 532898
Carborundum Uni., 513375
Welspun Living, 514162
Crompton Gr. Con, 539876
Tata Steel, 500470
CESC, 500084
G M D C, 532181
Aarti Industries, 524208
Canara HSBC, 544583
Jindal Steel, 532286
Anthem Bioscienc, 544449
Privi Speci., 530117
Travel Food, 544443
GE Vernova T&D, 522275
Garden Reach Sh., 542011
Data Pattern, 543428
United Spirits, 532432
Zydus Lifesci., 532321
Kalpataru Proj., 522287
Netweb Technol., 543945
Emcure Pharma, 544210
JBM Auto, 532605
Waaree Energies, 544277
APL Apollo Tubes, 533758
Anand Rathi Wea., 543415
Nuvama Wealth, 543988
Capri Global, 531595
Acutaas Chemical, 543349
Aether Industri., 543534
Belrise Industri, 544405
Shriram Finance, 532498
AU Small Finance, 540611
Cupid, 530843
Siemens Ener.Ind, 544390
DOMS Industries, 544045
Cemindia Project, 509496
CEAT, 500878
Trent, 500251
Blue Star, 500067
Tata Comm, 500483
Bajaj Finance, 500034
Azad Engineering, 544061
Bharti Airtel, 532454
Maruti Suzuki, 532500
Uno Minda, 532539
Federal Bank, 500469
Bikaji Foods, 543653
Aurobindo Pharma, 524804
Aster DM Health., 540975
Karur Vysya Bank, 590003
Adani Power, 533096
Force Motors, 500033
Life Insurance, 540719
International Ge, 206119
JSW Dulux, 500710
MTAR Technologie, 543270
Chambal Fert., 500085
360 ONE, 522085
Bank of Maha, 532525
HBL Engineering, 517271
Alkem Lab, 539523
Glaxosmi. Pharma, 500660
Axis Bank, 532215
Endurance Tech., 540153
Adani Ports, 532921
JSW Infrast, 543994
SBI, 500112
Billionbrains, 544603
MRF, 500290
Indian Bank, 532814
GMR Airports, 532754
CreditAcc. Gram., 541770
Aadhar Hsg. Fin., 544176
Union Bank (I), 532477
EIH, 500840
